region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
	none	RF	['Pupil_area_P', 'Gaze_movement_quantity_P', 'Head_Ry_I', 'AUs_mouth_I', 'Head_Rx_I', 'Head_Tz_I', 'Saccades_P', 'Head_Rz_I', 'Head_Ty_I', 'Neutral_I', 'Blinks_P', 'Head_T_movement_quantity_I', 'AU_eyes_I', 'Happy_I', 'AU_all_I', 'Head_R_movement_quantity_I', 'Face_looks_P', 'Head_Tx_I', 'IPU_I', 'Direct_gaze_I', 'IPU_P', 'Mouth_looks_P', 'Sad_I', 'SpeechRate_P', 'ReactionTime_P', 'Eyes_looks_P', 'SpeechRate_I', 'ReactionTime_I', 'LexicalRichness_I', 'Polarity_P', 'Overlap_I', 'TypeTokenRatio_P', 'TypeTokenRatio_I', 'LexicalRichness_P', 'Subjectivity_I', 'UnionSocioItems_I', 'Angry_I', 'Polarity_I', 'disc_IPU_P', 'Subjectivity_P', 'Feedbacks_I', 'disc_IPU_I', 'FilledBreaks_I', 'Smiles_I', 'UnionSocioItems_P', 'Feedbacks_P', 'Particles_I', 'Discourses_I']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_P_t3', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'UnionSocioItems_P_t3', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'LexicalRichness_P_t3', 'TypeTokenRatio_P_t6', 'TypeTokenRatio_P_t5', 'TypeTokenRatio_P_t4', 'TypeTokenRatio_P_t3', 'SpeechRate_P_t6', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'Polarity_P_t6', 'Polarity_P_t5', 'Polarity_P_t4', 'Polarity_P_t3', 'Subjectivity_P_t6', 'Subjectivity_P_t5', 'Subjectivity_P_t4', 'Subjectivity_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Polarity_I_t6', 'Polarity_I_t5', 'Polarity_I_t4', 'Polarity_I_t3', 'Subjectivity_I_t6', 'Subjectivity_I_t5', 'Subjectivity_I_t4', 'Subjectivity_I_t3', 'Smiles_I_t6', 'Smiles_I_t5', 'Smiles_I_t4', 'Smiles_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Direct_gaze_I_t6', 'Direct_gaze_I_t5', 'Direct_gaze_I_t4', 'Direct_gaze_I_t3', 'Head_Tx_I_t6', 'Head_Tx_I_t5', 'Head_Tx_I_t4', 'Head_Tx_I_t3', 'Head_Ty_I_t6', 'Head_Ty_I_t5', 'Head_Ty_I_t4', 'Head_Ty_I_t3', 'Head_Tz_I_t6', 'Head_Tz_I_t5', 'Head_Tz_I_t4', 'Head_Tz_I_t3', 'Head_Rx_I_t6', 'Head_Rx_I_t5', 'Head_Rx_I_t4', 'Head_Rx_I_t3', 'Head_Ry_I_t6', 'Head_Ry_I_t5', 'Head_Ry_I_t4', 'Head_Ry_I_t3', 'Head_Rz_I_t6', 'Head_Rz_I_t5', 'Head_Rz_I_t4', 'Head_Rz_I_t3', 'Head_R_movement_quantity_I_t6', 'Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Head_T_movement_quantity_I_t6', 'Head_T_movement_quantity_I_t5', 'Head_T_movement_quantity_I_t4', 'Head_T_movement_quantity_I_t3', 'Angry_I_t6', 'Angry_I_t5', 'Angry_I_t4', 'Angry_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Sad_I_t6', 'Sad_I_t5', 'Sad_I_t4', 'Sad_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Blinks_P_t6', 'Blinks_P_t5', 'Blinks_P_t4', 'Blinks_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3', 'Face_looks_P_t6', 'Face_looks_P_t5', 'Face_looks_P_t4', 'Face_looks_P_t3', 'Mouth_looks_P_t6', 'Mouth_looks_P_t5', 'Mouth_looks_P_t4', 'Mouth_looks_P_t3', 'Eyes_looks_P_t6', 'Eyes_looks_P_t5', 'Eyes_looks_P_t4', 'Eyes_looks_P_t3']	[0.050902076895858024, 0.05051693460526703, 0.04812034708524712, 0.04581992910457642, 0.04579414072231135, 0.042136223395367725, 0.04059820356697389, 0.03844244593261234, 0.03805726918476488, 0.03735638390456487, 0.03697330565743929, 0.036027877301689215, 0.03456760632194006, 0.03379247279358948, 0.03240191069207849, 0.030499411805394765, 0.027046529266184907, 0.02662972027190803, 0.025786002826791405, 0.024825670500886705, 0.020741633288821396, 0.018541362930706934, 0.017080601190044124, 0.016361382395029392, 0.016187489745946384, 0.014612109714365653, 0.014321262548172821, 0.014295851934218602, 0.014157241245251792, 0.01312971267370298, 0.01288893945305359, 0.011033822324934755, 0.009834953137625183, 0.008224039852875783, 0.00767144664799517, 0.006406456109586815, 0.005227130253999328, 0.005084546550502312, 0.004729482091832554, 0.004029059148964949, 0.003569261279023294, 0.003209240409009142, 0.0027359452165211353, 0.0023661603674557056, 0.0021502843033508546, 0.0018243235640566218, 0.0017894335646638348, 0.0015023662228429266]	0.55	0.58
	none	RF	['Pupil_area_P', 'Gaze_movement_quantity_P', 'AU_all_I', 'AUs_mouth_I', 'Head_R_movement_quantity_I', 'Saccades_P', 'AU_eyes_I', 'Head_T_movement_quantity_I', 'Head_Rx_I', 'Head_Tx_I', 'Head_Ry_I', 'Head_Tz_I', 'Head_Rz_I', 'Blinks_P', 'Neutral_I', 'Head_Ty_I', 'IPU_P', 'IPU_I', 'Happy_I', 'Face_looks_P', 'Mouth_looks_P', 'Sad_I', 'Direct_gaze_I', 'SpeechRate_P', 'SpeechRate_I', 'Eyes_looks_P', 'ReactionTime_P', 'ReactionTime_I', 'Overlap_I', 'Polarity_P', 'LexicalRichness_I', 'LexicalRichness_P', 'TypeTokenRatio_P', 'Subjectivity_I', 'TypeTokenRatio_I', 'Polarity_I', 'disc_IPU_P', 'disc_IPU_I', 'Subjectivity_P', 'Angry_I', 'UnionSocioItems_I', 'UnionSocioItems_P', 'Smiles_I', 'FilledBreaks_I', 'Feedbacks_I', 'Feedbacks_P', 'Particles_I', 'Discourses_I']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_P_t3', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'UnionSocioItems_P_t3', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'LexicalRichness_P_t3', 'TypeTokenRatio_P_t6', 'TypeTokenRatio_P_t5', 'TypeTokenRatio_P_t4', 'TypeTokenRatio_P_t3', 'SpeechRate_P_t6', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'Polarity_P_t6', 'Polarity_P_t5', 'Polarity_P_t4', 'Polarity_P_t3', 'Subjectivity_P_t6', 'Subjectivity_P_t5', 'Subjectivity_P_t4', 'Subjectivity_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Polarity_I_t6', 'Polarity_I_t5', 'Polarity_I_t4', 'Polarity_I_t3', 'Subjectivity_I_t6', 'Subjectivity_I_t5', 'Subjectivity_I_t4', 'Subjectivity_I_t3', 'Smiles_I_t6', 'Smiles_I_t5', 'Smiles_I_t4', 'Smiles_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Direct_gaze_I_t6', 'Direct_gaze_I_t5', 'Direct_gaze_I_t4', 'Direct_gaze_I_t3', 'Head_Tx_I_t6', 'Head_Tx_I_t5', 'Head_Tx_I_t4', 'Head_Tx_I_t3', 'Head_Ty_I_t6', 'Head_Ty_I_t5', 'Head_Ty_I_t4', 'Head_Ty_I_t3', 'Head_Tz_I_t6', 'Head_Tz_I_t5', 'Head_Tz_I_t4', 'Head_Tz_I_t3', 'Head_Rx_I_t6', 'Head_Rx_I_t5', 'Head_Rx_I_t4', 'Head_Rx_I_t3', 'Head_Ry_I_t6', 'Head_Ry_I_t5', 'Head_Ry_I_t4', 'Head_Ry_I_t3', 'Head_Rz_I_t6', 'Head_Rz_I_t5', 'Head_Rz_I_t4', 'Head_Rz_I_t3', 'Head_R_movement_quantity_I_t6', 'Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Head_T_movement_quantity_I_t6', 'Head_T_movement_quantity_I_t5', 'Head_T_movement_quantity_I_t4', 'Head_T_movement_quantity_I_t3', 'Angry_I_t6', 'Angry_I_t5', 'Angry_I_t4', 'Angry_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Sad_I_t6', 'Sad_I_t5', 'Sad_I_t4', 'Sad_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Blinks_P_t6', 'Blinks_P_t5', 'Blinks_P_t4', 'Blinks_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3', 'Face_looks_P_t6', 'Face_looks_P_t5', 'Face_looks_P_t4', 'Face_looks_P_t3', 'Mouth_looks_P_t6', 'Mouth_looks_P_t5', 'Mouth_looks_P_t4', 'Mouth_looks_P_t3', 'Eyes_looks_P_t6', 'Eyes_looks_P_t5', 'Eyes_looks_P_t4', 'Eyes_looks_P_t3']	[0.06216686985213643, 0.05275422108587417, 0.046589647961321715, 0.045854202029736675, 0.04024204518111029, 0.04023438250640495, 0.038975317051611655, 0.03781802496442354, 0.037627864838845365, 0.03709907654157499, 0.03684762282012615, 0.036805011027822, 0.036692534796526406, 0.03655746864359182, 0.03391258284007741, 0.03296075612423726, 0.03183749671987694, 0.026460844534582542, 0.022663278983157245, 0.022543754908514416, 0.021640946150975567, 0.020476155429673085, 0.016038640476824493, 0.015779762155720446, 0.015371666470624507, 0.01311153193097972, 0.012530733777717183, 0.011776703817576895, 0.010091870632380576, 0.009786289290943656, 0.009272190500396103, 0.00901844820886975, 0.008214667647979953, 0.00815223471290719, 0.007986605625619508, 0.007872004502973422, 0.007604807141639461, 0.006803120068729134, 0.006414871362618093, 0.005563464420510345, 0.00329709712560531, 0.0028276608853781515, 0.0027309881937378367, 0.0026120859001212008, 0.0025990745434425937, 0.0024709714011770605, 0.0016676754304394757, 0.001644728782887314]	0.54	0.55
