region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
lSTS	WFS	RF	['SpeechActivity_I', 'UnionSocioItems_I', 'Overlap_I', 'TypeTokenRatio_I']	['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5']	[0.76, 0.12, 0.09, 0.04]	0.71	0.7
lSTS	wfs	LSTM	['UnionSocioItems_I', 'Overlap_I', 'TypeTokenRatio_I', 'IPU_I']	['UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3']	[0.31240912403702825, 0.25945019089482957, 0.22506438379904703, 0.20307630126909512]	0.69	0.71
lSTS	mi_rank	LREG	['UnionSocioItems_I', 'SpeechActivity_I', 'TypeTokenRatio_I', 'LexicalRichness_I']	['Particles_I_t3', 'UnionSocioItems_I_t6', 'LexicalRichness_I_t6', 'TypeTokenRatio_I_t6', 'disc_IPU_I_t5', 'UnionSocioItems_I_t5', 'LexicalRichness_I_t5', 'TypeTokenRatio_I_t5', 'IPU_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	[0.47, 0.31, 0.15, 0.06]	0.71	0.71
lSTS	mi_rank	SVM	['SpeechActivity_I']	['disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	[1.0]	0.68	0.68
lSTS	mi_rank	MLP	['IPU_I', 'disc_IPU_I']	['disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3']	[0.727453064767163, 0.2725469352328371]	0.7	0.71
rAMG	k_medoids	RF	['AU_eyes_I', 'Happy_I', 'SpeechActivity_I', 'AUs_mouth_I', 'SpeechActivity_P', 'AU_all_I', 'SpeechRate_I', 'Eyes_looks_P', 'TypeTokenRatio_I', 'Feedbacks_P', 'SpeechRate_P']	['Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'disc_IPU_P_t4', 'Feedbacks_P_t3', 'TypeTokenRatio_I_t4', 'SpeechRate_I_t4', 'Feedbacks_P_t4', 'TypeTokenRatio_I_t5', 'SpeechRate_I_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'SpeechRate_P_t6', 'Eyes_looks_P_t3', 'IPU_P_t6', 'IPU_I_t4', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'UnionSocioItems_P_t6', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t4', 'UnionSocioItems_P_t5', 'UnionSocioItems_I_t5', 'Subjectivity_I_t5', 'AUs_mouth_I_t3', 'AU_all_I_t3', 'Happy_I_t3', 'IPU_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AU_all_I_t4', 'Feedbacks_I_t3', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t3', 'SpeechRate_I_t3', 'IPU_I_t5', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t6', 'IPU_I_t3', 'AU_eyes_I_t3', 'disc_IPU_P_t6', 'disc_IPU_I_t6', 'disc_IPU_I_t4']	[0.15, 0.15, 0.14, 0.13, 0.12, 0.09, 0.06, 0.03, 0.03, 0.02, 0.02]	0.57	0.57
rAMG	WFS	SVM	['Head_Tx_I', 'Gaze_movement_energy_P', 'Face_looks_P', 'Head_Rx_I', 'Gaze_speed_P', 'Head_Ty_I', 'Head_rotation_energy_I', 'Saccades_P', 'AU_eyes_I', 'AUs_mouth_I', 'Head_translation_energy_I', 'AU_all_I']	['AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Head_Tx_I_t6', 'Head_Tx_I_t5', 'Head_Tx_I_t4', 'Head_Tx_I_t3', 'Head_Ty_I_t6', 'Head_Ty_I_t5', 'Head_Ty_I_t4', 'Head_Ty_I_t3', 'Head_Rx_I_t6', 'Head_Rx_I_t5', 'Head_Rx_I_t4', 'Head_Rx_I_t3', 'Head_Ry_I_t5', 'Head_rotation_energy_I_t6', 'Head_rotation_energy_I_t4', 'Head_rotation_energy_I_t3', 'Head_translation_energy_I_t6', 'Head_translation_energy_I_t5', 'Head_translation_energy_I_t4', 'Head_translation_energy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_speed_P_t6', 'Gaze_speed_P_t5', 'Gaze_speed_P_t4', 'Gaze_speed_P_t3', 'Gaze_movement_energy_P_t6', 'Gaze_movement_energy_P_t5', 'Gaze_movement_energy_P_t4', 'Gaze_movement_energy_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Face_looks_P_t5', 'Face_looks_P_t4']	[0.18, 0.16, 0.14, 0.11, 0.1, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.02]	0.54	0.59
rSTS	mi_rank	RF	['SpeechActivity_I', 'SpeechActivity_P', 'Face_looks_P', 'TypeTokenRatio_I', 'SpeechRate_I', 'LexicalRichness_I', 'Subjectivity_I']	['UnionSocioItems_I_t3', 'disc_IPU_I_t5', 'TypeTokenRatio_I_t4', 'IPU_I_t5', 'Subjectivity_I_t3', 'LexicalRichness_I_t3', 'Face_looks_P_t4', 'SpeechRate_I_t3', 'TypeTokenRatio_I_t3', 'Face_looks_P_t3', 'disc_IPU_P_t4', 'IPU_P_t4', 'disc_IPU_P_t3', 'disc_IPU_I_t4', 'IPU_P_t3', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	[0.47, 0.21, 0.15, 0.06, 0.05, 0.02, 0.02]	0.71	0.71
rSTS	mi_rank	LSTM	['IPU_I', 'disc_IPU_I']	['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3']	[0.546546867846561, 0.4534531321534391]	0.69	0.7
rSTS	mi_rank	LREG	['SpeechActivity_I']	['IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	[1.0]	0.7	0.7
