region;dm_method;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
Fusiform Gyrus;None;{'bootstrap': False, 'n_estimators': 10, 'random_state': 5};{'eyetracking_ts': ['Face']};['Face_t6', 'Face_t5', 'Face_t4', 'Face_t3'];['Face_t6', 'Face_t5', 'Face_t4', 'Face_t3'];0.6311926605504588;0.3984041747327666;0.4884820590086789;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 10};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.5494428969359332;0.5508244251310102;0.5501022639107181;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 10};{'speech_left_ts': ['SpeechActivity_left']};['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];0.5550139275766016;0.5426957271119474;0.5468964005811378;0.0;0.0;0.0
Right Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 50};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.5313370473537604;0.5312530001174502;0.531294769416075;0.0;0.0;0.0
Fusiform Gyrus;None;{'bootstrap': False, 'n_estimators': 10, 'random_state': 5};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz']};[' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];[' pose_Rx_t6', ' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t6', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t6', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];0.6037604456824512;0.5599583549722236;0.5551230592592548;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 50};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.5877437325905293;0.5990917153482566;0.5924390076391833;0.0;0.0;0.0
Right Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 300};{'speech_left_ts': ['SpeechActivity_left']};['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];0.5668523676880223;0.5606335643382867;0.5628348048259567;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 200};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6093314763231198;0.5920326970864177;0.5975154756011484;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 50};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.532033426183844;0.5021961014987734;0.5032430532701344;0.0;0.0;0.0
Left Motor Cortex;None;{'random_state': 5, 'bootstrap': False, 'n_estimators': 10};{'speech_ts': ['talk']};['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];0.6065128900949797;0.36785788585136486;0.4579582126223917;0.0;0.0;0.0
