region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
RightMotor;PCA_1;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.67239336492891;0.45211283720042234;0.540677626067526;0.67239336492891;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6327014218009479;0.400311089148941;0.490366559131649;0.6327014218009479;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.67239336492891;0.45211283720042234;0.540677626067526;0.67239336492891;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6327014218009479;0.400311089148941;0.490366559131649;0.6327014218009479;0.0;0.0;0.0;0.0
RightMotor;PCA_3;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.67239336492891;0.45211283720042234;0.540677626067526;0.67239336492891;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6327014218009479;0.400311089148941;0.490366559131649;0.6327014218009479;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6806872037914692;0.4633350694054491;0.5513638330323568;0.6806872037914692;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6350710900473934;0.40331528941398437;0.49333058589188816;0.6350710900473934;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6806872037914692;0.4633350694054491;0.5513638330323568;0.6806872037914692;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6350710900473934;0.40331528941398437;0.49333058589188816;0.6350710900473934;0.0;0.0;0.0;0.0
