region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
LeftMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6279620853080569;0.3943363805844433;0.48445401049966547;0.6279620853080569;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6690349319123742;0.4476077401189952;0.5363671323596898;0.6690349319123742;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6279620853080569;0.3943363805844433;0.48445401049966547;0.6279620853080569;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6690349319123742;0.4476077401189952;0.5363671323596898;0.6690349319123742;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6279620853080569;0.3943363805844433;0.48445401049966547;0.6279620853080569;0.0;0.0;0.0;0.0
RightMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6690349319123742;0.4476077401189952;0.5363671323596898;0.6690349319123742;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6421800947867299;0.41239527414029337;0.5022534074666777;0.6421800947867299;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.681872037914692;0.46494947608993514;0.5528951853749986;0.681872037914692;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6421800947867299;0.41239527414029337;0.5022534074666777;0.6421800947867299;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.681872037914692;0.46494947608993514;0.5528951853749986;0.681872037914692;0.0;0.0;0.0;0.0
