region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	recall. mean	fscore. mean	accuracy. std	recall. std	fscore. std	K-Fscores	nb_predictors
Cerebellar.Anterior	k_medoids	6	{'solver': 'lbfgs', 'C': 1}	['Feedbacks_I', 'AUs_mouth_I', 'SpeechRate_P', 'Saccades_P', 'UnionSocioItems_P', 'IPU_I', 'disc_IPU_P', 'Subjectivity_I', 'TypeTokenRatio_I', 'Feedbacks_P', 'Sad_I', 'LexicalRichness_P', 'UnionSocioItems_I', 'Smiles_I', 'IPU_P', 'Pupil_area_P']	['IPU_I_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3', 'IPU_P_t4', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'Subjectivity_I_t3', 'Feedbacks_P_t3', 'Smiles_I_t4', 'Feedbacks_P_t4', 'Smiles_I_t5', 'LexicalRichness_P_t6', 'SpeechRate_P_t6', 'SpeechRate_P_t5', 'UnionSocioItems_P_t6', 'IPU_P_t3', 'TypeTokenRatio_I_t6', 'IPU_P_t5', 'IPU_P_t6', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3', 'Sad_I_t5', 'Saccades_P_t6', 'Saccades_P_t4', 'Saccades_P_t3', 'Feedbacks_I_t4', 'Smiles_I_t3', 'AUs_mouth_I_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Smiles_I_t6', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'AUs_mouth_I_t6', 'IPU_I_t6']	0.5244735620292729	0.88	0.56	0.03491137014060084	0.11512412765377145	0.1242851894858142	0.4104502699857878,0.5806212184228962,0.758569245306834,0.5213388733171097,0.3210366596147045,0.6590472003609785,0.5214698537127249,0.5828698304588981,0.6412050998686837	16
Cerebellar.Posterior	k_medoids	6	{'solver': 'lbfgs', 'C': 0.8}	['LexicalRichness_P', 'AU_eyes_I', 'Pupil_area_P', 'Head_T_movement_quantity_I', 'Feedbacks_P', 'IPU_I', 'Angry_I', 'Feedbacks_I', 'Subjectivity_I', 'Direct_gaze_I', 'ReactionTime_P', 'Head_Tz_I', 'Saccades_P', 'ReactionTime_I', 'Polarity_P', 'disc_IPU_P', 'TypeTokenRatio_I', 'SpeechRate_I', 'Blinks_P', 'IPU_P', 'disc_IPU_I']	['Feedbacks_P_t6', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'SpeechRate_I_t5', 'AU_eyes_I_t6', 'Head_Tz_I_t6', 'Blinks_P_t6', 'IPU_P_t6', 'Saccades_P_t6', 'ReactionTime_P_t6', 'Polarity_P_t4', 'IPU_I_t6', 'IPU_I_t4', 'Pupil_area_P_t3', 'disc_IPU_P_t6', 'TypeTokenRatio_I_t5', 'disc_IPU_I_t3', 'ReactionTime_P_t3', 'ReactionTime_I_t6', 'Direct_gaze_I_t6', 'LexicalRichness_P_t6', 'LexicalRichness_P_t3', 'Head_T_movement_quantity_I_t6', 'Head_T_movement_quantity_I_t5', 'Angry_I_t6', 'Angry_I_t5', 'TypeTokenRatio_I_t3', 'disc_IPU_I_t6', 'TypeTokenRatio_I_t6', 'Subjectivity_I_t6', 'TypeTokenRatio_I_t4', 'Subjectivity_I_t4']	0.5246687234774842	0.42	0.5	0.023849244825173043	0.14825772207470328	0.04300084937977641	0.5300162143081177,0.5521751290203234,0.43730661313931446,0.5307127330215401,0.5467461548009295,0.5150441474842584,0.42381724274413585,0.49450012944004057,0.4998186961769912	21
DefaultMode.LP_L	k_medoids	6	{'solver': 'lbfgs', 'C': 0.6}	['Happy_I', 'IPU_I', 'Angry_I', 'IPU_P', 'Feedbacks_P', 'disc_IPU_P', 'SpeechRate_P', 'TypeTokenRatio_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t4', 'TypeTokenRatio_P_t4', 'SpeechRate_P_t4', 'Angry_I_t6', 'Angry_I_t5', 'Angry_I_t4', 'Angry_I_t3', 'Happy_I_t6']	0.5164867010004021	0.4	0.52	0.015613254227494875	0.06429318674814252	0.028616172264418257	0.5677783854898647,0.5297955285246765,0.4747957674365685,0.5198158684562142,0.5477199715604744,0.5244002615664806,0.4891252202882041,0.49710756322773936,0.4908774335649393	8
DefaultMode.LP_R	mi_rank	6	{'solver': 'lbfgs', 'C': 0.8}	['Blinks_P', 'disc_IPU_P', 'Pupil_area_P', 'disc_IPU_I', 'IPU_I', 'Head_Tz_I', 'Head_Rx_I', 'Sad_I', 'Happy_I', 'TypeTokenRatio_P', 'LexicalRichness_P', 'Subjectivity_P', 'Gaze_movement_quantity_P', 'Polarity_P', 'Saccades_P', 'Head_Rz_I', 'Head_Tx_I', 'LexicalRichness_I', 'IPU_P', 'Smiles_I', 'Head_Ty_I', 'SpeechRate_P']	['LexicalRichness_P_t4', 'Head_Rz_I_t5', 'TypeTokenRatio_P_t4', 'LexicalRichness_I_t3', 'Sad_I_t6', 'Head_Tx_I_t6', 'Head_Rx_I_t5', 'disc_IPU_P_t5', 'Happy_I_t6', 'Subjectivity_P_t3', 'Smiles_I_t5', 'LexicalRichness_I_t5', 'Head_Tz_I_t5', 'Polarity_P_t3', 'Head_Tz_I_t4', 'disc_IPU_I_t3', 'LexicalRichness_P_t3', 'Head_Rz_I_t4', 'Head_Ty_I_t5', 'Head_Ty_I_t6', 'Head_Ty_I_t4', 'Head_Ty_I_t3', 'SpeechRate_P_t4', 'disc_IPU_I_t5', 'IPU_I_t3', 'Blinks_P_t3', 'Happy_I_t4', 'Happy_I_t5', 'IPU_P_t5', 'Saccades_P_t6', 'IPU_I_t5', 'disc_IPU_P_t3', 'Head_Rz_I_t3', 'Blinks_P_t6', 'disc_IPU_P_t4', 'Gaze_movement_quantity_P_t6', 'disc_IPU_I_t4', 'Blinks_P_t4', 'Saccades_P_t3', 'IPU_P_t3', 'IPU_I_t4', 'Blinks_P_t5', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t5', 'Pupil_area_P_t3', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t6', 'Saccades_P_t4', 'IPU_P_t4']	0.5148540058824018	0.92	0.51	0.011017873947981873	0.05860081940796809	0.12490536056938245	0.45427188188114975,0.5889356765343466,0.6952840626185165,0.39184578758569866,0.5777794305373288,0.5309047744793657,0.29346906029359243,0.39176502406096375,0.6402350197287834	22
DefaultMode.MPFC	mi_rank	6	{'solver': 'liblinear', 'C': 0.6}	['AU_all_I', 'IPU_P', 'disc_IPU_I', 'Pupil_area_P', 'IPU_I', 'disc_IPU_P', 'AUs_mouth_I']	['IPU_I_t4', 'disc_IPU_I_t3', 'disc_IPU_P_t3', 'AU_all_I_t3', 'AUs_mouth_I_t4', 'IPU_I_t3', 'AUs_mouth_I_t3', 'Pupil_area_P_t6', 'IPU_P_t3', 'Pupil_area_P_t3', 'Pupil_area_P_t5', 'Pupil_area_P_t4']	0.5377153750081515	0.6	0.54	0.042869711576159486	0.08343262044072153	0.04343637733261718	0.5401001206954348,0.5648729536607475,0.590019393050063,0.5564927761753783,0.5190690410677388,0.5616580534895189,0.5727270043851559,0.5399670266152472,0.43210302565267344	7
DefaultMode.PCC	k_medoids	6	{'solver': 'liblinear', 'C': 0.9}	['Feedbacks_P', 'LexicalRichness_P', 'IPU_I', 'AUs_mouth_I', 'Happy_I', 'AU_eyes_I', 'Overlap_I', 'UnionSocioItems_P', 'IPU_P', 'TypeTokenRatio_I', 'disc_IPU_P', 'Subjectivity_I', 'disc_IPU_I', 'Direct_gaze_I', 'Pupil_area_P', 'AU_all_I', 'ReactionTime_P', 'Head_Ty_I']	['Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_P_t3', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'IPU_P_t6', 'IPU_P_t4', 'UnionSocioItems_P_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_all_I_t3', 'Happy_I_t4', 'Happy_I_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'ReactionTime_P_t6', 'ReactionTime_P_t4', 'IPU_I_t6', 'Pupil_area_P_t4', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'TypeTokenRatio_I_t5', 'Subjectivity_I_t5', 'disc_IPU_I_t3', 'ReactionTime_P_t3', 'Direct_gaze_I_t6', 'Direct_gaze_I_t5', 'Head_Ty_I_t6', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'LexicalRichness_P_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'TypeTokenRatio_I_t3', 'disc_IPU_I_t6', 'TypeTokenRatio_I_t6', 'Subjectivity_I_t6', 'TypeTokenRatio_I_t4', 'Subjectivity_I_t4']	0.5328140896872806	0.53	0.51	0.034324558508882975	0.20679515668160747	0.05262191869027566	0.4105390488562971,0.5521366831557202,0.5021605833837919,0.5562499192600344,0.5412808602556193,0.5129082256305836,0.536193809501454,0.529123690306136,0.4143393356607236	18
DorsalAttention.FEF_L	k_medoids	6	{'solver': 'liblinear', 'C': 0.8}	['IPU_P', 'disc_IPU_P', 'Neutral_I', 'Subjectivity_I', 'IPU_I', 'LexicalRichness_P', 'disc_IPU_I', 'TypeTokenRatio_I', 'ReactionTime_P', 'Direct_gaze_I', 'Angry_I', 'ReactionTime_I', 'Feedbacks_P']	['Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_P_t3', 'IPU_P_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'IPU_I_t6', 'disc_IPU_P_t6', 'TypeTokenRatio_I_t5', 'disc_IPU_I_t3', 'Neutral_I_t5', 'Neutral_I_t4', 'ReactionTime_P_t3', 'ReactionTime_I_t6', 'Direct_gaze_I_t5', 'Neutral_I_t3', 'LexicalRichness_P_t6', 'LexicalRichness_P_t4', 'LexicalRichness_P_t3', 'Angry_I_t4', 'Angry_I_t3', 'TypeTokenRatio_I_t3', 'Subjectivity_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'TypeTokenRatio_I_t6', 'Subjectivity_I_t6', 'TypeTokenRatio_I_t4']	0.5281181509725246	0.56	0.52	0.02677381248330705	0.08888909707749053	0.03340820975064878	0.47821508601534085,0.48566223426215305,0.5598691325321701,0.523860167311215,0.4998146496320906,0.5103256438525665,0.5705400379396869,0.47082604493766356,0.5362352343251742	13
DorsalAttention.FEF_R	mi_rank	6	{'solver': 'lbfgs', 'C': 1}	['Happy_I', 'Pupil_area_P', 'Neutral_I', 'Head_Ry_I', 'Head_Rx_I', 'Head_R_movement_quantity_I', 'TypeTokenRatio_I', 'disc_IPU_P', 'Angry_I', 'SpeechRate_P', 'Gaze_movement_quantity_P', 'ReactionTime_P', 'Saccades_P', 'Sad_I', 'Head_Tx_I', 'TypeTokenRatio_P', 'ReactionTime_I', 'IPU_P', 'Blinks_P', 'Head_Ty_I', 'IPU_I']	['Head_Ty_I_t4', 'Sad_I_t3', 'Angry_I_t3', 'Head_Rx_I_t4', 'TypeTokenRatio_P_t3', 'TypeTokenRatio_I_t6', 'Head_Tx_I_t4', 'Head_Ry_I_t5', 'Happy_I_t3', 'ReactionTime_I_t4', 'disc_IPU_P_t3', 'Blinks_P_t3', 'IPU_I_t6', 'Head_R_movement_quantity_I_t4', 'Gaze_movement_quantity_P_t5', 'Pupil_area_P_t5', 'Head_R_movement_quantity_I_t6', 'Happy_I_t5', 'Sad_I_t4', 'TypeTokenRatio_P_t6', 'disc_IPU_P_t6', 'SpeechRate_P_t6', 'Angry_I_t5', 'Sad_I_t5', 'TypeTokenRatio_P_t5', 'IPU_P_t5', 'Blinks_P_t5', 'ReactionTime_P_t4', 'IPU_P_t6', 'Angry_I_t6', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t4', 'IPU_P_t3', 'Pupil_area_P_t3', 'Neutral_I_t3', 'Neutral_I_t4', 'Head_R_movement_quantity_I_t5', 'Neutral_I_t5', 'Saccades_P_t6', 'Neutral_I_t6', 'Gaze_movement_quantity_P_t3', 'Blinks_P_t6']	0.5011699277756921	0.99	0.54	0.002566811653490361	0.00891683714683659	0.09936013099050084	0.505179598937126,0.6114397334946287,0.4562967752047334,0.3791333901055231,0.5864322125126645,0.654324350322419,0.6885519212448397,0.4343478697852166,0.5027548814929591	21
DorsalAttention.IPS_L	k_medoids	6	{'solver': 'liblinear', 'C': 0.8}	['Pupil_area_P', 'Head_Tx_I', 'IPU_I', 'UnionSocioItems_P', 'disc_IPU_P', 'Blinks_P', 'Discourses_I', 'LexicalRichness_P', 'AUs_mouth_I', 'Direct_gaze_I', 'Gaze_movement_quantity_P', 'Smiles_I', 'Head_Ty_I', 'IPU_P', 'SpeechRate_P', 'Angry_I', 'Sad_I', 'FilledBreaks_I', 'Particles_I', 'Polarity_P', 'AU_all_I', 'disc_IPU_I', 'Head_Rx_I', 'Feedbacks_I', 'TypeTokenRatio_I', 'ReactionTime_P', 'Subjectivity_P', 'UnionSocioItems_I', 'Feedbacks_P']	['AU_all_I_t4', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'IPU_I_t6', 'AUs_mouth_I_t4', 'IPU_P_t3', 'IPU_P_t4', 'Subjectivity_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'AUs_mouth_I_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Smiles_I_t6', 'UnionSocioItems_I_t4', 'Sad_I_t6', 'Sad_I_t5', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'Sad_I_t4', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t3', 'Blinks_P_t6', 'LexicalRichness_P_t6', 'LexicalRichness_P_t3', 'SpeechRate_P_t6', 'SpeechRate_P_t4', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'Discourses_I_t3', 'Particles_I_t5', 'Angry_I_t6', 'Angry_I_t3', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Smiles_I_t5', 'Feedbacks_P_t3', 'Smiles_I_t4', 'Feedbacks_I_t4', 'Smiles_I_t3', 'AU_all_I_t3', 'ReactionTime_P_t5', 'disc_IPU_P_t4', 'Polarity_P_t4', 'AU_all_I_t5', 'AU_all_I_t6', 'Head_Tx_I_t5', 'Head_Tx_I_t4', 'Head_Tx_I_t3', 'Pupil_area_P_t4', 'Pupil_area_P_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_I_t4', 'Head_Tx_I_t6', 'Head_Ty_I_t3', 'Head_Rx_I_t4', 'disc_IPU_P_t3', 'Polarity_P_t3', 'Pupil_area_P_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t4', 'Pupil_area_P_t3', 'Direct_gaze_I_t6', 'Direct_gaze_I_t5', 'Direct_gaze_I_t4', 'ReactionTime_P_t3', 'disc_IPU_I_t6', 'Head_Ty_I_t4']	0.507287624320406	0.95	0.51	0.010430062980223349	0.04418640573887814	0.12450075008198988	0.27172198580190093,0.44139181770978714,0.6134797757794793,0.5520481869701535,0.41498427095265056,0.6325542389033998,0.4606198582933809,0.7016879842791001,0.45993855608243883	29
DorsalAttention.IPS_R	k_medoids	6	{'solver': 'liblinear', 'C': 0.9}	['Head_Ty_I', 'Feedbacks_P', 'Feedbacks_I', 'UnionSocioItems_I', 'UnionSocioItems_P', 'Head_Tx_I', 'Gaze_movement_quantity_P', 'Direct_gaze_I', 'Pupil_area_P', 'Subjectivity_P', 'Happy_I', 'Subjectivity_I', 'AU_all_I', 'AUs_mouth_I', 'TypeTokenRatio_I', 'Smiles_I', 'Saccades_P', 'SpeechRate_P', 'TypeTokenRatio_P', 'Head_Ry_I', 'disc_IPU_P', 'disc_IPU_I', 'Neutral_I', 'IPU_I', 'ReactionTime_P', 'LexicalRichness_P', 'IPU_P', 'Sad_I', 'Blinks_P', 'Polarity_P']	['AU_all_I_t4', 'TypeTokenRatio_I_t6', 'Subjectivity_I_t6', 'TypeTokenRatio_I_t5', 'Subjectivity_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'Subjectivity_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'IPU_I_t6', 'AUs_mouth_I_t4', 'IPU_P_t3', 'TypeTokenRatio_P_t3', 'IPU_P_t4', 'TypeTokenRatio_P_t4', 'Subjectivity_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'TypeTokenRatio_P_t6', 'AUs_mouth_I_t3', 'Happy_I_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'UnionSocioItems_I_t4', 'Sad_I_t6', 'Sad_I_t5', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'Sad_I_t4', 'Saccades_P_t6', 'Saccades_P_t5', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'Blinks_P_t6', 'LexicalRichness_P_t6', 'LexicalRichness_P_t4', 'SpeechRate_P_t4', 'Gaze_movement_quantity_P_t6', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Feedbacks_P_t3', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Smiles_I_t3', 'AU_all_I_t3', 'ReactionTime_P_t5', 'disc_IPU_P_t4', 'AU_all_I_t5', 'AU_all_I_t6', 'Head_Tx_I_t5', 'Head_Tx_I_t4', 'Head_Tx_I_t3', 'Pupil_area_P_t4', 'Pupil_area_P_t5', 'disc_IPU_P_t6', 'Polarity_P_t6', 'disc_IPU_P_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'Neutral_I_t5', 'Neutral_I_t4', 'disc_IPU_P_t3', 'Polarity_P_t3', 'Pupil_area_P_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t4', 'Pupil_area_P_t3', 'Direct_gaze_I_t6', 'Direct_gaze_I_t5', 'Direct_gaze_I_t4', 'Head_Ry_I_t5', 'ReactionTime_P_t3', 'disc_IPU_I_t6', 'Head_Ty_I_t5']	0.5039901369925859	0.96	0.5	0.006911637421657024	0.04577788643857405	0.0716498577989483	0.43672395084741505,0.4242758625965086,0.45754758429193887,0.5293588262336044,0.4170255945248659,0.5969903433616567,0.630247442944307,0.4894435207995256,0.4745677506543129	30
