region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;accuracy. mean;recall. mean;fscore. mean;accuracy. std;recall. std;fscore. std;K-Fscores
LeftSTS;MI_RANK_2;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['disc_IPU_I', 'IPU_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['disc_IPU_I_t3', 'IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_6;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['IPU_I', 'TypeTokenRatio_I', 'disc_IPU_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['TypeTokenRatio_I_t5', 'IPU_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_10;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['disc_IPU_I', 'LexicalRichness_I', 'IPU_I', 'UnionSocioItems_I', 'TypeTokenRatio_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['TypeTokenRatio_I_t6', 'disc_IPU_I_t5', 'UnionSocioItems_I_t5', 'LexicalRichness_I_t5', 'IPU_I_t5', 'TypeTokenRatio_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_14;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['disc_IPU_I', 'LexicalRichness_I', 'TypeTokenRatio_I', 'IPU_I', 'Particles_I', 'UnionSocioItems_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['IPU_I_t6', 'Particles_I_t3', 'UnionSocioItems_I_t6', 'LexicalRichness_I_t6', 'TypeTokenRatio_I_t6', 'disc_IPU_I_t5', 'UnionSocioItems_I_t5', 'LexicalRichness_I_t5', 'IPU_I_t5', 'TypeTokenRatio_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_18;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['LexicalRichness_I', 'UnionSocioItems_I', 'TypeTokenRatio_I', 'Particles_I', 'disc_IPU_I', 'Laughters_I', 'IPU_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['disc_IPU_I_t6', 'Particles_I_t4', 'Laughters_I_t3', 'LexicalRichness_I_t3', 'IPU_I_t6', 'Particles_I_t3', 'UnionSocioItems_I_t6', 'LexicalRichness_I_t6', 'TypeTokenRatio_I_t6', 'disc_IPU_I_t5', 'UnionSocioItems_I_t5', 'LexicalRichness_I_t5', 'TypeTokenRatio_I_t5', 'IPU_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_2;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['disc_IPU_I'];['disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3'];['disc_IPU_I_t4', 'disc_IPU_I_t3'];0.6376022037631742;0.6483971467973341;0.6411593191316919;0.04032923135538347;0.06607866972905231;0.047248578713611364;0.6880750533375506,0.6829204764158049,0.5400515723449035,0.5831815360835606,0.6625194818477496,0.6198826461425361,0.6663464288141397,0.6632241489174797,0.664232528281502
LeftSTS;MI_RANK_2;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.8};['IPU_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3'];['IPU_I_t4', 'IPU_I_t3'];0.624531976766957;0.5031156150685713;0.5929819618481581;0.041183750403361696;0.07345181394963662;0.0429317677738852;0.6383077851510061,0.5897199840928687,0.5311012203936506,0.5146973770366711,0.6431343881479337,0.5847602956486924,0.5894802982931932,0.6130729757490258,0.6325633321203818
LeftSTS;MI_RANK_2;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.7};['IPU_P', 'IPU_I'];['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3'];['IPU_P_t3', 'IPU_I_t3'];0.6244669614574929;0.4987108818175871;0.5931592419964757;0.041444416089501036;0.06922316557164859;0.04296386910603611;0.6373357897145058,0.5897199840928687,0.5317559288150799,0.5146973770366711,0.6449398803030414,0.5847602956486924,0.5894802982931932,0.6130729757490258,0.632670648315204
LeftSTS;MI_RANK_6;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.6};['IPU_I', 'IPU_P'];['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3'];['IPU_I_t5', 'IPU_P_t5', 'IPU_P_t4', 'IPU_I_t4', 'IPU_P_t3', 'IPU_I_t3'];0.6247637465192748;0.5035791545732067;0.5932809658067728;0.041307162782831024;0.07384443843133583;0.04316166945393389;0.6383077851510061,0.5897199840928687,0.5311012203936506,0.5146973770366711,0.6449398803030414,0.5847602956486924,0.5903658417656178,0.6130729757490258,0.6325633321203818
RightSTS;MI_RANK_2;6;{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1};['disc_IPU_I', 'IPU_I'];['IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'SpeechRate_I_t6', 'SpeechRate_I_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Overlap_I_t6', 'Overlap_I_t5', 'Overlap_I_t4', 'Overlap_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'FilledBreaks_I_t6', 'FilledBreaks_I_t5', 'FilledBreaks_I_t4', 'FilledBreaks_I_t3', 'Feedbacks_I_t6', 'Feedbacks_I_t5', 'Feedbacks_I_t4', 'Feedbacks_I_t3', 'Discourses_I_t6', 'Discourses_I_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t6', 'Particles_I_t5', 'Particles_I_t4', 'Particles_I_t3', 'Laughters_I_t5', 'Laughters_I_t3', 'LexicalRichness_I_t6', 'LexicalRichness_I_t5', 'LexicalRichness_I_t4', 'LexicalRichness_I_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'TypeTokenRatio_I_t3', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'UnionSocioItems_I_t3'];['disc_IPU_I_t3', 'IPU_I_t3'];0.6490187113231819;0.6611677280101462;0.6499666855552126;0.03644139962755758;0.07315136284839938;0.03941694112059728;0.6820407582523421,0.6826154577577608,0.5944038454612959,0.6114502354127276,0.6589927779705073,0.6086937326396231,0.6189842526086409,0.7082371377195049,0.6842819721745106
