region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	recall. mean	fscore. mean	accuracy. std	recall. std	fscore. std	K-Fscores	nb_predictors
lAMG	k_medoids	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.8}	['AUs_mouth_I', 'AU_eyes_I', 'ReactionTime_P', 'disc_IPU_P', 'Overlap_I', 'UnionSocioItems_P', 'IPU_I', 'Polarity_I', 'Feedbacks_P', 'SpeechRate_P', 'SpeechRate_I', 'Smiles_I', 'IPU_P', 'disc_IPU_I']	['AUs_mouth_I_t4', 'AU_eyes_I_t4', 'IPU_P_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t3', 'IPU_I_t6', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'AUs_mouth_I_t3', 'AU_eyes_I_t3', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'UnionSocioItems_P_t5', 'Smiles_I_t6', 'AUs_mouth_I_t6', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Polarity_I_t5', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'Feedbacks_P_t4', 'SpeechRate_P_t4', 'Overlap_I_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t3', 'SpeechRate_I_t4']	0.5203042677425251	0.53	0.53	0.02377664665770856	0.15095585270190282	0.040207075677136064	0.5660639395735898,0.5612605912257579,0.4925590723481004,0.48460810233345786,0.5781767701230431,0.5319833329867304,0.4566214374835829,0.5547768043387568,0.5042917305832659	14
lPc	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1}	['Smiles_I', 'AU_all_I', 'AU_eyes_I']	['AU_eyes_I_t5', 'Smiles_I_t5', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3']	0.5459651525588897	0.77	0.55	0.03799331487835578	0.16381093240394673	0.09206709652405233	0.6623683865476462,0.6477009907010324,0.5610449847544859,0.5732271357970146,0.4040519474282902,0.5707569208000185,0.6113684183797217,0.3849404667871339,0.5230602229724809	3
lSTS	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.9}	['Overlap_I', 'disc_IPU_I', 'LexicalRichness_I', 'IPU_I', 'Discourses_I', 'Feedbacks_I', 'SpeechRate_I', 'Particles_I']	['Discourses_I_t3', 'Overlap_I_t3', 'Overlap_I_t5', 'Overlap_I_t4', 'SpeechRate_I_t3', 'disc_IPU_I_t5', 'SpeechRate_I_t4', 'Feedbacks_I_t5', 'IPU_I_t5', 'Feedbacks_I_t3', 'LexicalRichness_I_t6', 'Particles_I_t5', 'Particles_I_t3', 'LexicalRichness_I_t5', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	0.6465522899434387	0.53	0.62	0.03814716293447376	0.1032159222313631	0.05224355636355787	0.6766065794978092,0.6876656199308232,0.606260892826339,0.6045141069970441,0.6709057007132214,0.5108684161413116,0.6082266873433946,0.5993997093994152,0.582440278355734	8
lTPJ	k_medoids	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1}	['Overlap_I', 'ReactionTime_P', 'AUs_mouth_I', 'UnionSocioItems_I', 'TypeTokenRatio_P', 'ReactionTime_I', 'disc_IPU_P', 'Eyes_looks_P', 'Smiles_I', 'UnionSocioItems_P', 'IPU_I', 'Happy_I', 'Subjectivity_I', 'SpeechRate_I', 'Feedbacks_P', 'Angry_I', 'IPU_P']	['Feedbacks_P_t4', 'Overlap_I_t6', 'UnionSocioItems_I_t3', 'SpeechRate_I_t6', 'Angry_I_t6', 'Angry_I_t5', 'Eyes_looks_P_t6', 'Eyes_looks_P_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t3', 'TypeTokenRatio_P_t6', 'Subjectivity_I_t6', 'Smiles_I_t6', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t3', 'SpeechRate_I_t4', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'Smiles_I_t5', 'IPU_I_t3', 'IPU_P_t6', 'IPU_P_t3', 'ReactionTime_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'disc_IPU_P_t6', 'Happy_I_t6', 'Happy_I_t5']	0.5479756991214126	0.49	0.54	0.030985015263726462	0.15243788606997755	0.059783978789634075	0.37764371298325977,0.5507951413776317,0.565278467308859,0.5456323120255637,0.5827601551788053,0.5412351240981816,0.5671338419186264,0.5739699035595343,0.5767428332396501	17
lV1	k_medoids	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.6}	['AUs_mouth_I', 'ReactionTime_P', 'TypeTokenRatio_I', 'disc_IPU_P', 'TypeTokenRatio_P', 'UnionSocioItems_P', 'IPU_I', 'LexicalRichness_P', 'Saccades_P', 'Feedbacks_P', 'Smiles_I', 'IPU_P']	['AUs_mouth_I_t4', 'IPU_P_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'TypeTokenRatio_I_t3', 'IPU_I_t6', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'AUs_mouth_I_t3', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'UnionSocioItems_P_t4', 'TypeTokenRatio_P_t4', 'Smiles_I_t5', 'Smiles_I_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'Feedbacks_P_t4', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'Saccades_P_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t6', 'LexicalRichness_P_t3', 'Saccades_P_t6']	0.5133655266579734	0.55	0.51	0.05317027491245414	0.1984288417399465	0.08405674307307139	0.3102054208960975,0.5741481066600741,0.5412646048269051,0.6173961682787369,0.5645380430598003,0.49935066338945977,0.49042576733866655,0.5122051971762966,0.44935966375313585	12
lVMPFC	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1}	['AU_eyes_I']	['AU_eyes_I_t5', 'AU_eyes_I_t4']	0.5066360535857493	0.85	0.52	0.012222058268190164	0.2534409662438662	0.06944635341736613	0.48297389220631143,0.5944027400175378,0.4829242072226298,0.48187119577407056,0.5695962309552485,0.65346730764333,0.4964035299806577,0.4133886696408144,0.48076923076923084	1
rAMG	k_medoids	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.7}	['AUs_mouth_I', 'ReactionTime_P', 'IPU_I', 'Overlap_I', 'UnionSocioItems_P', 'UnionSocioItems_I', 'AU_all_I', 'SpeechRate_I', 'Sad_I', 'IPU_P', 'disc_IPU_P', 'Feedbacks_P', 'LexicalRichness_I']	['ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'UnionSocioItems_P_t6', 'IPU_I_t5', 'IPU_I_t4', 'AU_all_I_t5', 'disc_IPU_P_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'Feedbacks_P_t6', 'Feedbacks_P_t3', 'LexicalRichness_I_t3', 'SpeechRate_I_t4', 'Sad_I_t6', 'IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'Overlap_I_t5', 'UnionSocioItems_I_t5', 'SpeechRate_I_t5']	0.5482553121214178	0.54	0.54	0.04308419060987052	0.29847507726338485	0.08868887489953371	0.6545730035523682,0.543502171654085,0.431855654416323,0.5597143221358469,0.47171149542570584,0.4496441561704226,0.47632984810780005,0.6003966185342856,0.6984787830084092	13
rPc	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.6}	['Saccades_P', 'IPU_P']	['Saccades_P_t5', 'IPU_P_t3']	0.542002342198766	0.69	0.58	0.03457495023132949	0.057126530982878315	0.05204909061258338	0.603362803068143,0.6548013800297368,0.5350670022379331,0.4898139100757975,0.5324584387534061,0.5695438623852215,0.6515692959467488,0.5958117570697579,0.5591013632548381	2
rSTS	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 0.8}	['ReactionTime_I', 'LexicalRichness_I', 'IPU_I', 'Particles_I', 'disc_IPU_I', 'SpeechRate_I', 'Feedbacks_I', 'Overlap_I']	['ReactionTime_I_t3', 'disc_IPU_I_t5', 'SpeechRate_I_t4', 'Overlap_I_t3', 'IPU_I_t5', 'Feedbacks_I_t5', 'Overlap_I_t5', 'SpeechRate_I_t3', 'Overlap_I_t4', 'Feedbacks_I_t3', 'LexicalRichness_I_t6', 'Particles_I_t5', 'LexicalRichness_I_t5', 'Particles_I_t3', 'disc_IPU_I_t4', 'IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3']	0.6493134734575848	0.51	0.62	0.03286995873905032	0.08924006558160104	0.03927426965132368	0.6449483577675358,0.6781368126694465,0.6293117965018726,0.6739586719082644,0.6448390658733951,0.604812929229515,0.574096000237321,0.5581596026237731,0.6049851146454057	8
rTPJ	mi_rank	6	{'random_state': 5, 'kernel': 'linear', 'class_weight': 'balanced', 'C': 1}	['IPU_P']	['IPU_P_t4', 'IPU_P_t3']	0.5603881283431602	0.72	0.58	0.030436605946777637	0.07311170301989083	0.022375083027735818	0.6151362016593811,0.5357917744201687,0.577047504172034,0.5810718347172543,0.573097152940378,0.5551471125045685,0.5957671354694071,0.5995118029008021,0.583729104500141	1
