region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	recall. mean	fscore. mean	accuracy. std	recall. std	fscore. std	K-Fscores	nb_predictors
Cerebellar.Anterior	k_medoids	6	{'solver': 'lbfgs', 'C': 0.8}	['IPU_P', 'disc_IPU_P', 'IPU_I', 'AU_eyes_I', 'SpeechRate_P', 'Blinks_P', 'LexicalRichness_P', 'disc_IPU_I', 'TypeTokenRatio_I', 'UnionSocioItems_P', 'Feedbacks_P', 'Saccades_P']	['IPU_P_t5', 'IPU_I_t3', 'disc_IPU_I_t3', 'TypeTokenRatio_I_t3', 'IPU_P_t6', 'Saccades_P_t3', 'Blinks_P_t6', 'Blinks_P_t5', 'IPU_I_t6', 'IPU_I_t5', 'disc_IPU_I_t5', 'IPU_I_t4', 'IPU_P_t3', 'UnionSocioItems_P_t3', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'LexicalRichness_P_t5', 'SpeechRate_P_t6', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5']	0.5379311362542772	0.49	0.53	0.034253297855747114	0.09892752124768073	0.03906556969532125	0.5291837927143779,0.4560539390782325,0.5416388001679228,0.5090620243628573,0.5461026289994142,0.5483594641561593,0.6125422526221734,0.5130986822492923,0.5262496170843863	12
Cerebellar.Posterior	model_rank	6	{'solver': 'lbfgs', 'C': 1}	['Gaze_movement_quantity_P', 'Saccades_P', 'AU_all_I', 'Pupil_area_P', 'AUs_mouth_I', 'Blinks_P', 'IPU_I', 'Happy_I', 'Neutral_I', 'AU_eyes_I', 'IPU_P', 'SpeechRate_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'SpeechRate_P_t5', 'IPU_I_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Blinks_P_t6', 'Blinks_P_t5', 'Blinks_P_t4', 'Blinks_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	0.5178045821682354	0.85	0.51	0.02106000231248085	0.1469180107268491	0.10385488497751584	0.27960470176033453,0.504116115353463,0.4619952309064264,0.5289990051048774,0.5639947150471059,0.6369885904813065,0.42875916323976393,0.5647982813056411,0.6224560788112924	12
DefaultMode.LP_L	model_rank	6	{'solver': 'lbfgs', 'C': 1}	['ReactionTime_I', 'Gaze_movement_quantity_P', 'Blinks_P', 'Saccades_P', 'AUs_mouth_I', 'IPU_P', 'IPU_I', 'AU_eyes_I', 'SpeechRate_I', 'Happy_I', 'Pupil_area_P', 'SpeechRate_P', 'Neutral_I', 'AU_all_I']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'SpeechRate_P_t6', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'IPU_I_t6', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'ReactionTime_I_t3', 'SpeechRate_I_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Blinks_P_t6', 'Blinks_P_t5', 'Blinks_P_t4', 'Blinks_P_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	0.5198730105628656	0.92	0.53	0.02521525584590197	0.08433484830080823	0.0700917459459501	0.6296418803097238,0.47510831107256346,0.5823112006553458,0.4238630909963497,0.46779012580209384,0.44478412971320774,0.5730516207231114,0.5960914735558231,0.5390644796688754	14
DefaultMode.LP_R	mi_rank	6	{'solver': 'liblinear', 'C': 0.6}	['AU_all_I', 'AUs_mouth_I', 'Overlap_I', 'Gaze_movement_quantity_P', 'TypeTokenRatio_P', 'IPU_I', 'disc_IPU_I', 'Pupil_area_P', 'TypeTokenRatio_I', 'Smiles_I', 'SpeechRate_P', 'Blinks_P', 'Saccades_P', 'AU_eyes_I', 'IPU_P', 'Happy_I']	['Smiles_I_t6', 'TypeTokenRatio_I_t3', 'disc_IPU_I_t4', 'Pupil_area_P_t5', 'IPU_I_t3', 'SpeechRate_P_t3', 'Blinks_P_t5', 'Saccades_P_t4', 'Smiles_I_t5', 'Happy_I_t6', 'Overlap_I_t3', 'Saccades_P_t3', 'Overlap_I_t6', 'IPU_P_t3', 'TypeTokenRatio_P_t4', 'TypeTokenRatio_P_t3', 'Pupil_area_P_t3', 'Happy_I_t4', 'Blinks_P_t4', 'Pupil_area_P_t4', 'Saccades_P_t6', 'Happy_I_t3', 'Blinks_P_t3', 'Blinks_P_t6', 'Gaze_movement_quantity_P_t3', 'IPU_I_t4', 'AU_eyes_I_t5', 'Happy_I_t5', 'Gaze_movement_quantity_P_t4', 'AU_all_I_t6', 'Gaze_movement_quantity_P_t6', 'AUs_mouth_I_t6', 'AU_eyes_I_t3', 'Gaze_movement_quantity_P_t5', 'AU_all_I_t3', 'AU_eyes_I_t4', 'AU_all_I_t5', 'AU_eyes_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t3', 'AU_all_I_t4', 'AUs_mouth_I_t4']	0.5370773969387695	0.49	0.51	0.017722830717983692	0.20648355211693206	0.052274086495311234	0.5199814784934769,0.5078053342998597,0.47186973372073104,0.5310840239832999,0.5170701257447976,0.3863111032669556,0.5676942296035065,0.5639658135017472,0.5421924785361878	16
DefaultMode.MPFC	k_medoids	6	{'solver': 'lbfgs', 'C': 0.8}	['Feedbacks_I', 'AU_all_I', 'AUs_mouth_I', 'disc_IPU_P', 'ReactionTime_I', 'Gaze_movement_quantity_P', 'IPU_I', 'Neutral_I', 'TypeTokenRatio_I', 'Subjectivity_P', 'Overlap_I', 'UnionSocioItems_I', 'disc_IPU_I', 'Angry_I', 'AU_eyes_I', 'Happy_I', 'Smiles_I', 'LexicalRichness_I', 'Saccades_P', 'ReactionTime_P', 'Blinks_P', 'Feedbacks_P', 'UnionSocioItems_P', 'TypeTokenRatio_P', 'LexicalRichness_P', 'IPU_P', 'Pupil_area_P']	['IPU_P_t4', 'Pupil_area_P_t3', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Smiles_I_t6', 'Pupil_area_P_t6', 'LexicalRichness_I_t4', 'Angry_I_t5', 'Angry_I_t4', 'Angry_I_t6', 'Angry_I_t3', 'Saccades_P_t5', 'Blinks_P_t5', 'Saccades_P_t4', 'Blinks_P_t4', 'Saccades_P_t3', 'Blinks_P_t3', 'Saccades_P_t6', 'LexicalRichness_I_t3', 'Gaze_movement_quantity_P_t6', 'AU_eyes_I_t3', 'AU_eyes_I_t4', 'AU_eyes_I_t5', 'AU_eyes_I_t6', 'IPU_I_t3', 'disc_IPU_I_t3', 'TypeTokenRatio_I_t3', 'IPU_I_t4', 'ReactionTime_P_t4', 'UnionSocioItems_P_t3', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'Feedbacks_I_t3', 'UnionSocioItems_I_t6', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Happy_I_t6', 'Neutral_I_t6', 'ReactionTime_I_t6', 'AUs_mouth_I_t6', 'AUs_mouth_I_t4', 'AU_all_I_t6', 'Overlap_I_t3', 'Feedbacks_P_t6', 'TypeTokenRatio_P_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t5', 'TypeTokenRatio_P_t5', 'Feedbacks_P_t4', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'Feedbacks_P_t3', 'TypeTokenRatio_P_t3', 'Overlap_I_t4', 'Overlap_I_t5', 'Overlap_I_t6', 'IPU_P_t3', 'IPU_P_t6', 'Subjectivity_P_t6', 'IPU_P_t5', 'Feedbacks_I_t4', 'UnionSocioItems_I_t5', 'IPU_I_t6', 'disc_IPU_I_t6', 'IPU_I_t5']	0.5070102232868695	0.9	0.55	0.01784834935312677	0.09156758327446003	0.13975117487777453	0.6433816336269039,0.348943913705081,0.5937578592626125,0.5546881096339785,0.8560231154252369,0.5530674751380678,0.4083773421613036,0.44595127588259525,0.5374198809117458	27
DefaultMode.PCC	k_medoids	6	{'solver': 'liblinear', 'C': 0.8}	['IPU_I', 'AUs_mouth_I', 'IPU_P', 'Feedbacks_P', 'disc_IPU_P']	['IPU_P_t6', 'IPU_I_t4', 'AUs_mouth_I_t4', 'IPU_P_t4', 'disc_IPU_P_t4', 'Feedbacks_P_t3', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5']	0.5294537076506209	0.42	0.51	0.03802661399651478	0.2331404656546394	0.047524688989617175	0.4255443816533077,0.5102477065208029,0.5068525101185435,0.5027606488664393,0.49179014561474454,0.4980752027954202,0.4912559919665018,0.5029446991209385,0.6214754851043921	5
DorsalAttention.FEF_L	k_medoids	6	{'solver': 'liblinear', 'C': 0.8}	['IPU_P', 'IPU_I', 'Feedbacks_P', 'Angry_I', 'Neutral_I', 'disc_IPU_I', 'disc_IPU_P']	['IPU_P_t6', 'IPU_P_t5', 'Angry_I_t5', 'Angry_I_t4', 'IPU_P_t4', 'disc_IPU_P_t3', 'Feedbacks_P_t4', 'IPU_I_t6', 'IPU_I_t5', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'Neutral_I_t5']	0.5341754420466138	0.51	0.52	0.0290801338868053	0.10611617042911464	0.0295969243517848	0.5391414965934996,0.48994571548018345,0.5739655661900859,0.5140141384484708,0.5623832767809923,0.5033506546102946,0.53843906987233,0.49317452762534203,0.49492901227687186	7
DorsalAttention.FEF_R	mi_rank	6	{'solver': 'liblinear', 'C': 1}	['Angry_I', 'IPU_P', 'TypeTokenRatio_P', 'Blinks_P', 'AU_all_I', 'Sad_I', 'Smiles_I', 'disc_IPU_I', 'AU_eyes_I', 'Neutral_I', 'Feedbacks_P', 'IPU_I', 'Pupil_area_P', 'ReactionTime_P', 'AUs_mouth_I', 'Saccades_P', 'Happy_I', 'Gaze_movement_quantity_P']	['Feedbacks_P_t3', 'Angry_I_t6', 'IPU_P_t3', 'IPU_I_t5', 'IPU_I_t4', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t4', 'ReactionTime_P_t5', 'Saccades_P_t4', 'IPU_P_t5', 'disc_IPU_I_t6', 'IPU_I_t6', 'TypeTokenRatio_P_t5', 'Gaze_movement_quantity_P_t3', 'Sad_I_t5', 'Neutral_I_t5', 'Smiles_I_t4', 'Smiles_I_t3', 'Gaze_movement_quantity_P_t5', 'Blinks_P_t6', 'Smiles_I_t5', 'Smiles_I_t6', 'Sad_I_t6', 'Neutral_I_t3', 'Sad_I_t4', 'Neutral_I_t4', 'Angry_I_t3', 'Neutral_I_t6', 'Saccades_P_t6', 'Blinks_P_t5', 'Sad_I_t3', 'Saccades_P_t5', 'Happy_I_t4', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t3', 'Pupil_area_P_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'Pupil_area_P_t3', 'Pupil_area_P_t6', 'AUs_mouth_I_t3', 'AUs_mouth_I_t4', 'Pupil_area_P_t5', 'AU_all_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t6', 'AU_eyes_I_t4', 'AU_all_I_t3', 'AU_eyes_I_t3', 'AU_all_I_t5', 'AU_all_I_t4']	0.5158810014551187	0.92	0.53	0.04805727615289215	0.11835706992034485	0.07945511173173195	0.5666819227076868,0.4973749654600718,0.39158956731959765,0.5571706585550109,0.4818079078924615,0.49970013121774903,0.5525010294511296,0.4962628682893863,0.702320977099431	18
DorsalAttention.IPS_L	k_medoids	6	{'solver': 'lbfgs', 'C': 1}	['IPU_P', 'IPU_I']	['IPU_P_t6', 'IPU_P_t5', 'IPU_I_t4', 'IPU_P_t4', 'IPU_I_t5']	0.523940258759228	0.48	0.5	0.022987824867586274	0.16267513455145605	0.029580454938552624	0.5148269711239428,0.4720217880319961,0.5205873141368235,0.5540054680788356,0.5128961779330083,0.47656682472060935,0.4630691116936477,0.5268866315667222,0.4726147670968273	2
DorsalAttention.IPS_R	k_medoids	6	{'solver': 'lbfgs', 'C': 0.9}	['ReactionTime_I', 'Overlap_I', 'TypeTokenRatio_I', 'IPU_I', 'SpeechRate_P', 'Gaze_movement_quantity_P', 'Smiles_I', 'Pupil_area_P', 'Feedbacks_I', 'LexicalRichness_I', 'Sad_I', 'AUs_mouth_I', 'LexicalRichness_P', 'TypeTokenRatio_P', 'Saccades_P', 'Blinks_P', 'ReactionTime_P', 'Neutral_I', 'Subjectivity_P', 'disc_IPU_I', 'Feedbacks_P', 'IPU_P', 'Polarity_P', 'Angry_I', 'AU_eyes_I', 'UnionSocioItems_P', 'disc_IPU_P']	['AU_eyes_I_t5', 'Sad_I_t5', 'IPU_I_t4', 'ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'IPU_P_t3', 'IPU_I_t6', 'disc_IPU_I_t6', 'IPU_I_t5', 'IPU_I_t3', 'disc_IPU_I_t3', 'TypeTokenRatio_I_t3', 'AU_eyes_I_t6', 'Saccades_P_t5', 'Blinks_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Saccades_P_t6', 'Blinks_P_t6', 'UnionSocioItems_P_t3', 'AU_eyes_I_t3', 'IPU_P_t6', 'IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_P_t4', 'Subjectivity_P_t4', 'ReactionTime_I_t6', 'disc_IPU_P_t6', 'Polarity_P_t6', 'Neutral_I_t6', 'AUs_mouth_I_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t5', 'TypeTokenRatio_P_t5', 'Feedbacks_P_t6', 'LexicalRichness_P_t6', 'TypeTokenRatio_P_t6', 'Feedbacks_P_t3', 'SpeechRate_P_t3', 'Feedbacks_P_t4', 'SpeechRate_P_t4', 'Feedbacks_I_t3', 'Overlap_I_t6', 'Angry_I_t5', 'Angry_I_t4', 'Overlap_I_t3', 'Gaze_movement_quantity_P_t6', 'Overlap_I_t4', 'LexicalRichness_I_t6', 'Angry_I_t6', 'Smiles_I_t6', 'Pupil_area_P_t6', 'Smiles_I_t5', 'Smiles_I_t4', 'Smiles_I_t3', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3', 'Overlap_I_t5', 'Feedbacks_I_t4']	0.5021777359867644	0.95	0.48	0.006975611642779986	0.0559970579464356	0.07658166322157806	0.3466286514027286,0.4738421351709077,0.623901656606845,0.561588238499763,0.4872329362056352,0.4186923843897774,0.4319577324003998,0.4535262289068231,0.5082106347272364	27
