region;dm_method;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
Fusiform Gyrus;None;{'max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 10};{'eyetracking_ts': ['Face']};['Face_t5', 'Face_t4', 'Face_t3'];['Face_t5', 'Face_t4', 'Face_t3'];0.5960648148148148;0.35529326346021944;0.4452115730669029;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.2, 'n_estimators': 100, 'max_depth': 5};{'speech_ts': ['Signal']};['Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t5', 'Signal_t4', 'Signal_t3'];0.6006944444444444;0.5866242700927038;0.5914691143875879;0.0;0.0;0.0
Fusiform Gyrus;None;{'max_depth': 50, 'learning_rate': 0.4, 'n_estimators': 10};{'facial_features_ts': [' pose_Rx', ' pose_Ry', ' pose_Rz']};[' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];[' pose_Rx_t5', ' pose_Rx_t4', ' pose_Rx_t3', ' pose_Ry_t5', ' pose_Ry_t4', ' pose_Ry_t3', ' pose_Rz_t5', ' pose_Rz_t4', ' pose_Rz_t3'];0.5567129629629629;0.5258116009740628;0.5284944539206591;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.2, 'n_estimators': 100, 'max_depth': 5};{'speech_left_ts': ['SpeechActivity_left']};['SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];['SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3'];0.5879629629629629;0.5644040385251322;0.5667192557873563;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.2, 'n_estimators': 10, 'max_depth': 5};{'speech_left_ts': ['Signal_left']};['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6516203703703703;0.64081492003367;0.6433346606246869;0.0;0.0;0.0
Fusiform Gyrus;None;{'max_depth': 50, 'learning_rate': 0.3, 'n_estimators': 100};{'facial_features_ts': [' AU01_r', ' AU02_r', ' AU04_r', ' AU05_r', ' AU06_r', ' AU07_r', ' AU10_r', ' AU12_r', ' AU14_r', ' AU15_r', ' AU17_r', ' AU20_r', ' AU23_r', ' AU25_r', ' AU26_r']};[' AU01_r_t5', ' AU01_r_t4', ' AU01_r_t3', ' AU02_r_t5', ' AU02_r_t4', ' AU02_r_t3', ' AU04_r_t5', ' AU04_r_t4', ' AU04_r_t3', ' AU05_r_t5', ' AU05_r_t4', ' AU05_r_t3', ' AU06_r_t5', ' AU06_r_t4', ' AU06_r_t3', ' AU07_r_t5', ' AU07_r_t4', ' AU07_r_t3', ' AU10_r_t5', ' AU10_r_t4', ' AU10_r_t3', ' AU12_r_t5', ' AU12_r_t4', ' AU12_r_t3', ' AU14_r_t5', ' AU14_r_t4', ' AU14_r_t3', ' AU15_r_t5', ' AU15_r_t4', ' AU15_r_t3', ' AU17_r_t5', ' AU17_r_t4', ' AU17_r_t3', ' AU20_r_t5', ' AU20_r_t4', ' AU20_r_t3', ' AU23_r_t5', ' AU23_r_t4', ' AU23_r_t3', ' AU25_r_t5', ' AU25_r_t4', ' AU25_r_t3', ' AU26_r_t5', ' AU26_r_t4', ' AU26_r_t3'];[' AU01_r_t5', ' AU01_r_t4', ' AU01_r_t3', ' AU02_r_t5', ' AU02_r_t4', ' AU02_r_t3', ' AU04_r_t5', ' AU04_r_t4', ' AU04_r_t3', ' AU05_r_t5', ' AU05_r_t4', ' AU05_r_t3', ' AU06_r_t5', ' AU06_r_t4', ' AU06_r_t3', ' AU07_r_t5', ' AU07_r_t4', ' AU07_r_t3', ' AU10_r_t5', ' AU10_r_t4', ' AU10_r_t3', ' AU12_r_t5', ' AU12_r_t4', ' AU12_r_t3', ' AU14_r_t5', ' AU14_r_t4', ' AU14_r_t3', ' AU15_r_t5', ' AU15_r_t4', ' AU15_r_t3', ' AU17_r_t5', ' AU17_r_t4', ' AU17_r_t3', ' AU20_r_t5', ' AU20_r_t4', ' AU20_r_t3', ' AU23_r_t5', ' AU23_r_t4', ' AU23_r_t3', ' AU25_r_t5', ' AU25_r_t4', ' AU25_r_t3', ' AU26_r_t5', ' AU26_r_t4', ' AU26_r_t3'];0.5844907407407407;0.5507715245021049;0.5531920111757268;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.3, 'n_estimators': 10, 'max_depth': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6527777777777778;0.6444057678782046;0.6463721390587298;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.3, 'n_estimators': 50, 'max_depth': 5};{'speech_ts': ['IPU']};['IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.5752314814814815;0.496637380751964;0.48041501962427013;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.1, 'n_estimators': 10, 'max_depth': 5};{'speech_ts': ['talk']};['talk_t5', 'talk_t4', 'talk_t3'];['talk_t5', 'talk_t4', 'talk_t3'];0.5879629629629629;0.34570044581618653;0.43540114458481805;0.0;0.0;0.0
Left Motor Cortex;None;{'learning_rate': 0.1, 'n_estimators': 50, 'max_depth': 5};{'speech_left_ts': ['talk_left']};['talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6273148148148148;0.6111020526078697;0.6148433536276002;0.0;0.0;0.0
