region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std
RightMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.643801652892562;0.41448056826719487;0.504295110712223;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['Signal']};['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];['Signal_t6', 'Signal_t5', 'Signal_t4', 'Signal_t3'];0.6462809917355372;0.41767912027866955;0.5074214212220783;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6520661157024793;0.6214683710402739;0.5750144231688512;0.0;0.0;0.0
LeftMotor;None;6;{'C': 0.9, 'kernel': 'rbf'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6570247933884298;0.6312464852557468;0.5760739831587296;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6586776859504132;0.6512853642637128;0.654068606795763;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6545454545454545;0.653100991835169;0.6537949711721858;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.6462809917355372;0.41767912027866955;0.5074214212220783;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.643801652892562;0.41448056826719487;0.504295110712223;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['talk']};['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];0.6462809917355372;0.41767912027866955;0.5074214212220783;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_ts': ['talk']};['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];['talk_t6', 'talk_t5', 'talk_t4', 'talk_t3'];0.643801652892562;0.41448056826719487;0.504295110712223;0.0;0.0;0.0
