region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
DefaultMode.MPFC	k_medoids	LREG	['IPU_P', 'Smiles_I', 'disc_IPU_P', 'LexicalRichness_P', 'SpeechRate_P', 'Feedbacks_P']	['IPU_P_t7', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t5', 'LexicalRichness_P_t3', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'Smiles_I_t5', 'Smiles_I_t4']	[0.4546368368244289, 0.18790543939889653, 0.17177500716832503, 0.11876847529222441, 0.04041591712404902, 0.026498324192076275]	0.52	0.53
DefaultMode.MPFC	k_medoids	MLP	['AUs_mouth_I', 'Direct_gaze_I', 'ReactionTime_I', 'disc_IPU_P', 'UnionSocioItems_P', 'ReactionTime_P', 'IPU_P', 'Smiles_I', 'Feedbacks_P', 'AU_all_I', 'SpeechRate_P', 'LexicalRichness_P', 'disc_IPU_I', 'TypeTokenRatio_P']	['UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'TypeTokenRatio_P_t3', 'AUs_mouth_I_t7', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_all_I_t4', 'AU_all_I_t3', 'IPU_P_t7', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t5', 'LexicalRichness_P_t3', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'Smiles_I_t5', 'Smiles_I_t4', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'ReactionTime_P_t3', 'ReactionTime_I_t7', 'ReactionTime_I_t6', 'Direct_gaze_I_t7', 'Direct_gaze_I_t5', 'Direct_gaze_I_t4', 'disc_IPU_P_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3']	[0.19765360904996276, 0.10858785921372309, 0.10559767561525954, 0.10505721265463275, 0.08966214186625389, 0.07217751054273598, 0.06880369711216636, 0.05720729880893474, 0.04753632609045683, 0.047102974988189696, 0.035806418159269174, 0.024807340054396314, 0.021817201094211352, 0.018182734749807555]	0.53	0.53
Visual.Occipital	model_rank	RF	['Head_R_movement_quantity_I', 'AU_eyes_I', 'Saccades_P', 'Pupil_area_P', 'Gaze_movement_quantity_P', 'Head_Rx_I', 'Head_Tz_I', 'Head_Rz_I']	['AU_eyes_I_t7', 'AU_eyes_I_t6', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'Head_Tz_I_t6', 'Head_Tz_I_t3', 'Head_Rx_I_t5', 'Head_Rx_I_t3', 'Head_Rz_I_t7', 'Head_Rz_I_t3', 'Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Pupil_area_P_t7', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	[0.17672161146606363, 0.17660106363609238, 0.14102956268538747, 0.13346719827987127, 0.12615974822448187, 0.08326723351920523, 0.08247371942103934, 0.08027986276785885]	0.54	0.54
Visual.Occipital	model_rank	LREG	['Head_R_movement_quantity_I', 'Pupil_area_P', 'Saccades_P']	['Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Saccades_P_t4', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	[0.5366668266296275, 0.28785920806735543, 0.1754739653030171]	0.53	0.53
Visual.Occipital	model_rank	MLP	['AU_eyes_I', 'Head_R_movement_quantity_I', 'Pupil_area_P', 'Saccades_P', 'Head_Rz_I', 'Head_Rx_I', 'Gaze_movement_quantity_P']	['AU_eyes_I_t7', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'Head_Rx_I_t5', 'Head_Rx_I_t3', 'Head_Rz_I_t7', 'Head_Rz_I_t3', 'Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Saccades_P_t4', 'Saccades_P_t3', 'Pupil_area_P_t7', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	[0.3282970684977588, 0.1496494469050894, 0.1353077404641164, 0.10303775039866783, 0.10097937030308274, 0.09333895865702298, 0.08938966477426184]	0.54	0.54
DorsalAttention.FEF_R	mi_rank	RF	['Saccades_P', 'Head_R_movement_quantity_I', 'Blinks_P', 'Pupil_area_P']	['Blinks_P_t6', 'Pupil_area_P_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t5', 'Blinks_P_t5', 'Saccades_P_t5', 'Saccades_P_t6', 'Saccades_P_t7']	[0.3904979501653337, 0.2921565167530695, 0.1744621051793387, 0.14288342790225816]	0.51	0.51
DorsalAttention.FEF_R	mi_rank	LREG	['Saccades_P', 'Blinks_P']	['Blinks_P_t5', 'Saccades_P_t5', 'Saccades_P_t6', 'Saccades_P_t7']	[0.6072735803105519, 0.392726419689448]	0.53	0.54
DorsalAttention.FEF_R	mi_rank	MLP	['Head_R_movement_quantity_I', 'Pupil_area_P', 'Blinks_P', 'Saccades_P']	['Blinks_P_t7', 'Pupil_area_P_t7', 'Head_R_movement_quantity_I_t4', 'Pupil_area_P_t5', 'Pupil_area_P_t6', 'Head_R_movement_quantity_I_t5', 'Blinks_P_t5', 'Saccades_P_t5', 'Saccades_P_t6', 'Saccades_P_t7']	[0.3408734879615163, 0.2780177598639384, 0.23525265123210348, 0.14585610094244186]	0.52	0.52
FrontoParietal.LPFC_R	mi_rank	RF	['Pupil_area_P', 'AUs_mouth_I', 'AU_all_I', 'Head_Ty_I', 'IPU_I', 'Happy_I', 'disc_IPU_I']	['AUs_mouth_I_t5', 'AUs_mouth_I_t3', 'Pupil_area_P_t6', 'Pupil_area_P_t3', 'Pupil_area_P_t4', 'Head_Ty_I_t7', 'AUs_mouth_I_t6', 'Pupil_area_P_t7', 'Happy_I_t7', 'disc_IPU_I_t3', 'AU_all_I_t3', 'AU_all_I_t7', 'Pupil_area_P_t5', 'AU_all_I_t4', 'IPU_I_t3', 'AUs_mouth_I_t7']	[0.357982561995091, 0.28360138970958887, 0.21405388927844232, 0.06387363177965306, 0.038649288374070126, 0.037589035301666754, 0.004250203561488015]	0.53	0.53
FrontoParietal.LPFC_R	k_medoids	LREG	['AUs_mouth_I', 'Subjectivity_I', 'Blinks_P', 'IPU_P', 'Head_Tz_I', 'Feedbacks_I', 'Pupil_area_P', 'Saccades_P', 'AU_all_I', 'disc_IPU_P', 'SpeechRate_I', 'AU_eyes_I', 'SpeechRate_P', 'TypeTokenRatio_I', 'IPU_I', 'LexicalRichness_P', 'Subjectivity_P', 'UnionSocioItems_P', 'disc_IPU_I', 'Smiles_I', 'Feedbacks_P', 'UnionSocioItems_I', 'TypeTokenRatio_P', 'Happy_I']	['UnionSocioItems_I_t5', 'Saccades_P_t3', 'TypeTokenRatio_I_t7', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'IPU_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'IPU_P_t7', 'TypeTokenRatio_P_t7', 'Subjectivity_P_t7', 'LexicalRichness_P_t7', 'LexicalRichness_P_t6', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'SpeechRate_I_t3', 'UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t4', 'Blinks_P_t7', 'Blinks_P_t6', 'Blinks_P_t3', 'UnionSocioItems_I_t7', 'UnionSocioItems_I_t6', 'Head_Tz_I_t5', 'Saccades_P_t7', 'Saccades_P_t6', 'TypeTokenRatio_I_t6', 'Subjectivity_I_t6', 'IPU_I_t4', 'Feedbacks_P_t3', 'Feedbacks_I_t5', 'TypeTokenRatio_I_t5', 'Subjectivity_I_t5', 'TypeTokenRatio_I_t4', 'Subjectivity_I_t4', 'AUs_mouth_I_t7', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'Happy_I_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'Pupil_area_P_t7', 'Feedbacks_P_t5', 'AU_eyes_I_t6', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Feedbacks_I_t4', 'Smiles_I_t3', 'IPU_I_t3', 'IPU_I_t5', 'AU_all_I_t5', 'IPU_I_t6', 'AU_all_I_t6', 'IPU_I_t7', 'AU_all_I_t7', 'disc_IPU_P_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'disc_IPU_I_t3']	[0.17656718484209394, 0.0963063299737204, 0.07880030198132519, 0.07106825981296983, 0.05840087060966374, 0.056113731712442966, 0.050309285628204685, 0.03921856995993396, 0.038383802859141135, 0.03485602189328321, 0.030993992452517515, 0.029786815307740543, 0.028532449496695325, 0.028224711727243466, 0.027711866599119624, 0.02440221303579788, 0.02378930771968607, 0.023739133810295833, 0.017270019624302583, 0.016630513252570808, 0.014119596582719824, 0.013394847001841886, 0.013025704804538372, 0.00835446931215102]	0.5	0.51
Salience.RPFC_R	k_medoids	RF	['AUs_mouth_I', 'Pupil_area_P', 'AU_all_I', 'IPU_I', 'Saccades_P', 'IPU_P', 'Head_Tz_I', 'Happy_I', 'Neutral_I', 'Sad_I', 'Blinks_P', 'TypeTokenRatio_I', 'AU_eyes_I', 'LexicalRichness_P', 'SpeechRate_P', 'ReactionTime_I', 'disc_IPU_I', 'Subjectivity_I', 'Feedbacks_P', 'Smiles_I', 'disc_IPU_P', 'ReactionTime_P', 'UnionSocioItems_P', 'UnionSocioItems_I', 'Subjectivity_P', 'Feedbacks_I']	['UnionSocioItems_I_t5', 'Sad_I_t6', 'Saccades_P_t3', 'TypeTokenRatio_I_t7', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'IPU_P_t4', 'IPU_P_t5', 'Subjectivity_P_t5', 'IPU_P_t6', 'IPU_P_t7', 'LexicalRichness_P_t7', 'LexicalRichness_P_t6', 'LexicalRichness_P_t4', 'SpeechRate_P_t7', 'SpeechRate_P_t4', 'UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t4', 'Head_Tz_I_t7', 'Head_Tz_I_t6', 'Blinks_P_t5', 'Blinks_P_t4', 'UnionSocioItems_I_t7', 'UnionSocioItems_I_t6', 'Sad_I_t5', 'Saccades_P_t5', 'Saccades_P_t4', 'TypeTokenRatio_I_t6', 'AU_all_I_t4', 'Feedbacks_P_t3', 'Smiles_I_t4', 'TypeTokenRatio_I_t5', 'Subjectivity_I_t5', 'TypeTokenRatio_I_t4', 'Subjectivity_I_t4', 'AUs_mouth_I_t7', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'Happy_I_t5', 'AUs_mouth_I_t4', 'Happy_I_t4', 'AUs_mouth_I_t3', 'Happy_I_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'Smiles_I_t7', 'Pupil_area_P_t7', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Feedbacks_P_t5', 'Smiles_I_t6', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Smiles_I_t5', 'Feedbacks_I_t4', 'Smiles_I_t3', 'AU_eyes_I_t3', 'AU_all_I_t3', 'AU_all_I_t5', 'IPU_I_t6', 'IPU_I_t7', 'AU_all_I_t7', 'disc_IPU_I_t3', 'disc_IPU_P_t7', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'ReactionTime_P_t3', 'ReactionTime_I_t5', 'ReactionTime_I_t4', 'Neutral_I_t5', 'Neutral_I_t4', 'disc_IPU_I_t7', 'disc_IPU_I_t6', 'disc_IPU_P_t6', 'disc_IPU_P_t4', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_P_t3', 'IPU_I_t5']	[0.1283974874870668, 0.1190379089578746, 0.10294423275623771, 0.08062243344954106, 0.07711845103504054, 0.06941931481355744, 0.05719862434635103, 0.04814448729992343, 0.044986327871731666, 0.03617513279141196, 0.03555106388736691, 0.034388028681954314, 0.027498790506532683, 0.021327554792746325, 0.019702490759355505, 0.01831605417338236, 0.012324891019062114, 0.010650881854957911, 0.009356759635008045, 0.009241305797549629, 0.009061401492927897, 0.008310530220444706, 0.0063756054710927355, 0.0059274872565950095, 0.004712576474002266, 0.003210177168285326]	0.58	0.59
Salience.RPFC_R	mi_rank	LREG	['Saccades_P', 'Pupil_area_P', 'Blinks_P', 'IPU_I', 'Happy_I', 'disc_IPU_I']	['Saccades_P_t3', 'Happy_I_t3', 'Pupil_area_P_t6', 'Blinks_P_t4', 'disc_IPU_I_t3', 'Pupil_area_P_t5', 'Saccades_P_t4', 'IPU_I_t3', 'IPU_I_t4', 'Pupil_area_P_t3', 'Pupil_area_P_t4']	[0.29746381475636413, 0.2863900934191678, 0.2157466846180931, 0.12821445618696775, 0.06357167355068977, 0.008613277468717512]	0.58	0.58
Salience.RPFC_R	model_rank	MLP	['Pupil_area_P', 'AU_eyes_I', 'Head_Rx_I', 'Head_Tz_I', 'Gaze_movement_quantity_P', 'Head_Ry_I', 'AUs_mouth_I', 'Head_R_movement_quantity_I', 'AU_all_I']	['AUs_mouth_I_t7', 'AUs_mouth_I_t4', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t7', 'Head_Tz_I_t7', 'Head_Tz_I_t6', 'Head_Tz_I_t5', 'Head_Tz_I_t4', 'Head_Tz_I_t3', 'Head_Rx_I_t7', 'Head_Rx_I_t5', 'Head_Rx_I_t4', 'Head_Rx_I_t3', 'Head_Ry_I_t7', 'Head_Ry_I_t6', 'Head_Ry_I_t3', 'Head_R_movement_quantity_I_t7', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Pupil_area_P_t7', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	[0.17957156106539068, 0.1763204970739049, 0.13853298008161483, 0.13540861287351338, 0.1067101162371761, 0.10110219781969809, 0.09395665398390378, 0.04529405036711073, 0.023103330497687476]	0.58	0.6
