region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
Language.pSTG_R	k_medoids	RF	['AUs_mouth_I', 'IPU_P', 'IPU_I', 'Pupil_area_P', 'Happy_I', 'TypeTokenRatio_I', 'SpeechRate_P', 'disc_IPU_P', 'AU_all_I', 'AU_eyes_I', 'Saccades_P', 'LexicalRichness_P', 'SpeechRate_I', 'Blinks_P', 'disc_IPU_I', 'Feedbacks_P', 'UnionSocioItems_I', 'UnionSocioItems_P', 'Feedbacks_I', 'Subjectivity_I']	['Pupil_area_P_t7', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t3', 'TypeTokenRatio_I_t7', 'Subjectivity_I_t7', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'IPU_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'IPU_P_t7', 'LexicalRichness_P_t7', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'Blinks_P_t3', 'UnionSocioItems_I_t7', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'Saccades_P_t3', 'TypeTokenRatio_I_t6', 'IPU_I_t4', 'Feedbacks_P_t3', 'Feedbacks_I_t5', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'AUs_mouth_I_t7', 'Happy_I_t7', 'AUs_mouth_I_t6', 'Happy_I_t6', 'AUs_mouth_I_t5', 'Happy_I_t5', 'AUs_mouth_I_t4', 'Happy_I_t4', 'AUs_mouth_I_t3', 'Happy_I_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'disc_IPU_P_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'disc_IPU_I_t3', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Feedbacks_I_t4', 'AU_eyes_I_t3', 'IPU_I_t3', 'IPU_I_t5', 'IPU_I_t6', 'IPU_I_t7', 'AU_all_I_t7']	[0.15522575627312274, 0.1441218339247378, 0.1418244666595864, 0.12375468700750349, 0.08471778104949627, 0.04001106621085334, 0.0398838975738108, 0.03539625184013311, 0.031404329532785595, 0.031134723574323363, 0.03030346601152753, 0.026038635372906314, 0.025909716031446775, 0.022333764984040196, 0.021691629450700495, 0.011611454317235592, 0.011210976185618123, 0.011189168063245178, 0.006720329690310358, 0.00551606624661661]	0.61	0.61
Language.pSTG_R	k_medoids	LREG	['IPU_P', 'SpeechRate_P', 'AU_all_I', 'Pupil_area_P', 'TypeTokenRatio_I', 'AUs_mouth_I', 'IPU_I', 'disc_IPU_I', 'LexicalRichness_P', 'Happy_I', 'SpeechRate_I', 'disc_IPU_P', 'Feedbacks_P', 'UnionSocioItems_P', 'Saccades_P', 'AU_eyes_I', 'Blinks_P', 'Subjectivity_I', 'UnionSocioItems_I', 'Feedbacks_I']	['UnionSocioItems_I_t5', 'UnionSocioItems_I_t4', 'Saccades_P_t3', 'TypeTokenRatio_I_t7', 'Subjectivity_I_t7', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'IPU_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'IPU_P_t7', 'LexicalRichness_P_t7', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'Blinks_P_t3', 'UnionSocioItems_I_t7', 'UnionSocioItems_I_t6', 'UnionSocioItems_I_t3', 'TypeTokenRatio_I_t6', 'AU_all_I_t4', 'Feedbacks_P_t3', 'Feedbacks_I_t5', 'TypeTokenRatio_I_t5', 'TypeTokenRatio_I_t4', 'AUs_mouth_I_t7', 'Happy_I_t7', 'AUs_mouth_I_t6', 'Happy_I_t6', 'AUs_mouth_I_t5', 'Happy_I_t5', 'AUs_mouth_I_t4', 'Happy_I_t4', 'AUs_mouth_I_t3', 'Happy_I_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'Pupil_area_P_t7', 'Pupil_area_P_t6', 'Pupil_area_P_t5', 'Pupil_area_P_t3', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'Feedbacks_I_t6', 'Feedbacks_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t3', 'AU_all_I_t5', 'IPU_I_t6', 'IPU_I_t7', 'AU_all_I_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_I_t3', 'disc_IPU_P_t7', 'disc_IPU_I_t6', 'disc_IPU_I_t5', 'disc_IPU_I_t4', 'disc_IPU_I_t3']	[0.16219324146960992, 0.1352980481523745, 0.0790257901812697, 0.06983668395386056, 0.06471073272998352, 0.058018920020485844, 0.057499383683956184, 0.052282552439017554, 0.04713863271892009, 0.046435653179046694, 0.04372671032750606, 0.033830755702326784, 0.02498042706727356, 0.02428601544323153, 0.023446226116795334, 0.02028088368642795, 0.01933452559070727, 0.01354342303186237, 0.01335773380967008, 0.010773660695674092]	0.6	0.61
Language.pSTG_R	k_medoids	MLP	['IPU_I', 'disc_IPU_P', 'TypeTokenRatio_I', 'UnionSocioItems_P', 'IPU_P', 'SpeechRate_P', 'AU_all_I', 'AUs_mouth_I', 'LexicalRichness_P', 'SpeechRate_I', 'Happy_I', 'AU_eyes_I', 'Particles_I', 'UnionSocioItems_I', 'Saccades_P', 'Discourses_I', 'Subjectivity_I', 'Feedbacks_P', 'disc_IPU_I']	['IPU_I_t6', 'IPU_I_t5', 'TypeTokenRatio_I_t7', 'Subjectivity_I_t7', 'TypeTokenRatio_I_t3', 'IPU_P_t3', 'IPU_P_t4', 'IPU_P_t5', 'IPU_P_t6', 'IPU_P_t7', 'LexicalRichness_P_t7', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'Discourses_I_t4', 'Discourses_I_t3', 'Particles_I_t4', 'Particles_I_t3', 'Feedbacks_P_t7', 'Feedbacks_P_t6', 'SpeechRate_P_t5', 'SpeechRate_P_t4', 'SpeechRate_P_t3', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'UnionSocioItems_P_t7', 'UnionSocioItems_P_t6', 'UnionSocioItems_P_t5', 'UnionSocioItems_P_t4', 'UnionSocioItems_I_t4', 'Saccades_P_t3', 'TypeTokenRatio_I_t6', 'TypeTokenRatio_I_t4', 'disc_IPU_P_t7', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_I_t3', 'disc_IPU_I_t3', 'TypeTokenRatio_I_t5', 'AUs_mouth_I_t4', 'AUs_mouth_I_t3', 'AU_all_I_t3', 'Happy_I_t3', 'IPU_I_t7', 'AUs_mouth_I_t7', 'AU_all_I_t7', 'Happy_I_t7', 'AU_eyes_I_t7', 'AU_eyes_I_t3']	[0.15587847159845009, 0.11312963072319013, 0.10365735582208874, 0.07604463133862535, 0.07196046621773255, 0.07183483490693746, 0.070454744517752, 0.04964429116330211, 0.04763517708888734, 0.04021962899582903, 0.03351981996005726, 0.029123318288450217, 0.02857946229937414, 0.0224449045366784, 0.022351585933396517, 0.02135107872415784, 0.017469579902610353, 0.016869019559348275, 0.007831998423132237]	0.6	0.61
Language.pSTG_L	mi_rank	RF	['IPU_I', 'IPU_P', 'AU_all_I', 'AUs_mouth_I', 'disc_IPU_I', 'Happy_I', 'disc_IPU_P', 'LexicalRichness_I']	['AUs_mouth_I_t3', 'AU_all_I_t3', 'Happy_I_t3', 'LexicalRichness_I_t3', 'disc_IPU_P_t5', 'IPU_P_t5', 'disc_IPU_I_t5', 'IPU_I_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t4', 'IPU_I_t3']	[0.3362602095538932, 0.2156619629402714, 0.10940496500313684, 0.10919804522468769, 0.09323634012553392, 0.06849214612841781, 0.038154409504866316, 0.029591921519193015]	0.66	0.65
Language.pSTG_L	mi_rank	LREG	['IPU_I', 'disc_IPU_I', 'disc_IPU_P', 'IPU_P']	['IPU_P_t5', 'disc_IPU_I_t5', 'IPU_I_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t4', 'IPU_I_t3']	[0.589450914273304, 0.17892892275497174, 0.12761807656102717, 0.10400208641069712]	0.66	0.66
Language.pSTG_L	model_rank	MLP	['Head_Tz_I', 'IPU_I', 'Head_R_movement_quantity_I', 'Head_Rx_I', 'IPU_P', 'Pupil_area_P', 'AU_all_I', 'Gaze_movement_quantity_P']	['IPU_P_t3', 'IPU_I_t4', 'IPU_I_t3', 'AU_all_I_t3', 'Head_Tz_I_t7', 'Head_Tz_I_t6', 'Head_Tz_I_t5', 'Head_Tz_I_t3', 'Head_Rx_I_t7', 'Head_Rx_I_t3', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Gaze_movement_quantity_P_t3', 'Pupil_area_P_t3']	[0.3532592261737695, 0.23885489949832017, 0.1345802702218088, 0.11947401598100013, 0.0915679189403117, 0.036894712344391095, 0.022830753525979196, 0.002538203314419508]	0.66	0.66
Salience.AInsula_R	mi_rank	RF	['IPU_I', 'IPU_P', 'Gaze_movement_quantity_P', 'Pupil_area_P', 'TypeTokenRatio_P', 'disc_IPU_I', 'disc_IPU_P']	['Pupil_area_P_t7', 'disc_IPU_P_t4', 'TypeTokenRatio_P_t4', 'IPU_P_t3', 'Gaze_movement_quantity_P_t7', 'IPU_I_t5', 'IPU_P_t4', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3', 'IPU_I_t4']	[0.36427636243779354, 0.20476989665418543, 0.18330773319612606, 0.17921959635217588, 0.03444273804713619, 0.023966762082624292, 0.010016911229958693]	0.55	0.55
Salience.AInsula_R	mi_rank	LREG	['IPU_I', 'disc_IPU_I', 'IPU_P']	['IPU_P_t4', 'disc_IPU_I_t4', 'disc_IPU_I_t3', 'IPU_I_t3', 'IPU_I_t4']	[0.7191216333016143, 0.20023235080371837, 0.08064601589466733]	0.55	0.55
Salience.AInsula_R	model_rank	MLP	['Head_R_movement_quantity_I', 'Head_Tz_I', 'AU_eyes_I', 'Gaze_movement_quantity_P', 'Pupil_area_P', 'Head_Ry_I', 'Head_Rz_I', 'Head_Rx_I', 'AU_all_I', 'Saccades_P', 'AUs_mouth_I']	['AUs_mouth_I_t6', 'AUs_mouth_I_t3', 'AU_eyes_I_t7', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t4', 'AU_eyes_I_t3', 'AU_all_I_t3', 'Head_Tz_I_t6', 'Head_Tz_I_t5', 'Head_Tz_I_t4', 'Head_Tz_I_t3', 'Head_Rx_I_t7', 'Head_Rx_I_t6', 'Head_Rx_I_t3', 'Head_Ry_I_t5', 'Head_Ry_I_t3', 'Head_Rz_I_t7', 'Head_Rz_I_t6', 'Head_Rz_I_t4', 'Head_R_movement_quantity_I_t7', 'Head_R_movement_quantity_I_t5', 'Head_R_movement_quantity_I_t4', 'Head_R_movement_quantity_I_t3', 'Gaze_movement_quantity_P_t7', 'Gaze_movement_quantity_P_t6', 'Gaze_movement_quantity_P_t5', 'Gaze_movement_quantity_P_t4', 'Gaze_movement_quantity_P_t3', 'Saccades_P_t7', 'Pupil_area_P_t7', 'Pupil_area_P_t6', 'Pupil_area_P_t4', 'Pupil_area_P_t3']	[0.1608871356987801, 0.15301310936707546, 0.1406396671217098, 0.13446649669040284, 0.13194317631402278, 0.09203561864103421, 0.06714432731306254, 0.04415461661295503, 0.036890580148489546, 0.01965921225193298, 0.019166059840534738]	0.54	0.54
DefaultMode.MPFC	mi_rank	RF	['IPU_P', 'IPU_I', 'disc_IPU_P']	['IPU_P_t4', 'IPU_I_t3', 'disc_IPU_P_t3', 'IPU_P_t3']	[0.5871032741138996, 0.30236414415149865, 0.11053258173460184]	0.52	0.52
